Brand,Country,Purchasing Practice,Gender and Racial Equality,Sustainable Sourcing and Material,Overconsumption Waste and Circularity,Water and Chemical,Climate Change and Biodiversity,Score,Points,,,,
Saks Fifth Avenue,USA,0,2,0,2,0,1,5,21,63.25,8%,No match,
Salvatore Ferragamo,Italy,0,2,3,1,1,11,18,60,22,24%,No match,
Sandro,France,0,1,2,1,0,0,4,20.5,0.5,8%,No match,
Semir,China,0,0,0,0,0,0,0,0.5,2.5,0%,No match,
SHEIN,China,0,0,0,0,0,0,0,5.5,20.25,2%,No match,
Shimamura,Japan,1,1,0,1,0,1,4,9.5,131.25,4%,No match,
Skechers,USA,1,0,0,0,0,0,1,16,22.75,6%,No match,
Speedo,UK,7,2,9,3,3,3,27,112.5,12.25,45%,No match,
Splash,UAE,0,0,0,0,0,0,0,0,33.75,0%,No match,
Sports Direct,UK,0,2,0,0,0,3,5,14.5,91.5,6%,No match,
Steve Madden,USA,1,2,4,2,0,1,10,35.25,79.25,14%,No match,
Stradivarius,Spain,10,5,9,7,3,11,45,107.75,29.25,43%,No match,
Superdry,UK,11,5,8,6,4,8,43,99,105.25,40%,No match,
Takko,Germany,5,0,0,0,0,0,5,21.25,139.25,9%,No match,Score updated
Target,USA,1,3,7,3,3,11,28,90,135.5,36%,No match,Updated based on Wikirate comment
Target Australia,Australia,17,5,8,4,9,10,53,196,53,78%,No match,
Tchibo,Germany,8,3,6,1,1,7,26,111.75,83.75,45%,No match,
Ted Baker,UK,1,3,5,1,0,7,17,59.25,26.75,24%,No match,
Tesco,UK,6,2,2,3,3,5,21,123.5,23,49%,No match,
Tezenis,Italy,7,5,4,6,3,9,34,134.75,164.25,54%,No match,
The Children's Place,USA,0,0,0,0,1,1,2,21.75,68,9%,No match,0.272
The North Face,USA,3,6,9,5,6,10,39,164.5,164.25,66%,No match,
The Warehouse,NZ,1,3,2,0,0,2,8,62.5,32.5,25%,No match,
Timberland,USA,3,6,9,5,6,10,39,164.5,34,66%,No match,
TJ Maxx,USA,1,2,0,2,0,2,7,31.75,0.5,13%,No match,
Tod's,Italy,0,2,0,0,1,2,5,23.75,105.75,10%,No match,
Tom Ford,USA,0,0,0,0,0,0,0,0.5,14,0%,No match,
Tom Tailor,Germany,5,2,7,2,0,6,22,106,147.5,42%,No match,
Tommy Bahama,USA,0,2,0,0,0,0,2,9.75,67.75,4%,No match,
Tommy Hilfiger,USA,5,4,4,4,6,6,29,140.75,67.75,56%,No match,
TOPVALU COLLECTION,Japan,0,0,2,0,1,9,12,42.75,41,17%,No match,
Tory Burch,USA,0,0,0,0,0,0,0,1.25,1,1%,No match,
Triumph,Germany,1,0,0,0,0,0,1,11.75,14.5,5%,No match,
Truworths,South Africa,0,2,0,2,0,0,4,10.25,26.5,4%,No match,Updated value in the brand tracking doc based on questionnaire
UGG,USA,4,2,7,5,5,11,34,139,136.25,56%,No match,
Under Armour,USA,2,2,0,0,0,2,6,54.75,53.75,22%,No match,Corrected value in the dataset based on questionnaire and updated brand tracker
Uniqlo,Japan,5,4,6,6,7,12,40,123.5,99.25,49%,No match,
United Arrows,Japan,0,1,0,4,0,0,5,23,21.75,9%,No match,
United Colors of Benetton,Italy,10,2,7,7,5,3,34,158,149.25,63%,No match,
Urban Outfitters,USA,1,2,4,4,2,1,14,34.75,39.25,14%,No match,
Valentino,Italy,0,0,0,0,0,0,0,12.25,20.25,5%,No match,
Van Heusen,USA,0,0,0,0,0,0,0,1.75,147.5,1%,No match,
Vans,USA,3,6,8,3,6,10,36,161.5,162.25,65%,No match,
Vero Moda,Denmark,3,3,8,1,2,8,25,90.75,64,36%,No match,
Versace,Italy,1,2,1,0,1,1,6,33,39,13%,No match,Reviewed during final review
Very,UK,0,2,0,3,0,2,7,53.75,57,22%,No match,
Victoria's Secret,USA,1,0,0,0,2,0,3,44.75,54,18%,No match,
Walmart,USA,3,3,4,1,2,5,18,60.5,64.25,24%,No match,
Woolworths South Africa,South Africa,1,2,5,2,3,4,17,66,61,26%,No match,
Wrangler,USA,3,4,4,6,4,6,27,111.25,85.5,45%,No match,
Youngor,China,0,0,0,0,0,0,0,0,0,0%,MATCH,
Zalando,Germany,2,4,6,6,0,12,30,110,112.25,44%,No match,
Zara,Spain,10,5,9,7,3,11,45,107.75,91.5,43%,No match,Updated based on FTI Brazil
Zeeman,Netherlands,16,3,6,2,0,2,29,143,96,57%,No match,Updated based on Wikirate comment
